,Project ID,Drive Time,Tilt,Azimuth,Panel QTY,System Rating (kW DC),Inverter Manufacturer,Array Type,Squirrel Screen,Consumption Monitoring,Truss / Rafter,"Reinforce-ments",Rough Electrical Inspection,Interconnection Type,Module Length,Module Width,Module Weight,# of Arrays,# of reinforcement,Roof Type,Attachment Type,0 / 1,# of Stories,Install Season,Total Direct Time for Project for Hourly Employees (Including Drive Time),Total # of Days on Site,Total # Hourly Empoyees on Site,Estimated # of Salaried Employees on Site,Estimated Salary Hours,Estimated Total Direct Time,,Estimated Total # of People on Site,Notes,,,,,
,091,25,14/18,180/270,21,7.98,Enphase,1,0,,0,0,0,A3,70.67,39.98,41.9,3,0,Asphalt Shingles,Flashfoot 2,2,1,1,10:30:00,1,1,2,21:00:00,31:30:00,,3,,,,,,
,092,34,18,180,10,3.70,SolarEdge,1,0,,0,0,0,C*,69.13,40.91,45.19,1,0,Asphalt Shingles,Flashfoot 2,0,1,1,10:00:00,1,1,2,20:00:00,30:00:00,,3,,,,,,
,093,48,18,145,14,5.60,Enphase,1,0,,3,0,0,A2,71.7,40,45,1,0,Ag Metal,Ejot,0,2,1,21:36:00,1,3,2,14:24:00,36:00:00,,5,,,,,,
,094,14,26,180,16,6.40,Enphase,1,1,,0,0,1,A1,71.7,40,45,1,0,Asphalt Shingles,Flashfoot 2,0,1,1,29:55:00,3,3,2,19:56:40,49:51:40,,5,,,,,,
,095,1 hour 32,18,135,20,9.00,SolarEdge,1,0,,3,0,0,A*,82.79,40.94,55.12,1,0,Ag Metal,Ejot,1,1,1,18:30:00,1,2,2,18:30:00,37:00:00,,4,,,,,,
,096,21,30,90/180/270,56,20.72,SolarEdge,1,1,,0,0,0,A*,67.8,40,43,7,0,Asphalt Shingles,Flashfoot 2,0,2,1,43:48:00,5,1,2,87:36:00,131:24:00,,3,,,,,,
,104,21,30,175,24,8.88,Enphase,1,0,,0,0,0,A1,68.5,41.01,41.02,1,0,Asphalt Shingles,Flashfoot 2,0,1,1,18:15:00,1,2,2,18:15:00,36:30:00,,4,,,,,,
,112,25,26,170/260,26,9.62,Enphase,1,1,,0,0,1,A2,69.13,40.91,45.19,2,0,Asphalt Shingles,Flashfoot 2,0,1,2,3:10:00,1,1,2,6:20:00,9:30:00,,3,Time data looks wrong to me,,,,,
,119,29,24,200/110,27,10.80,Enphase,1,1,,0,0,0,A1,71.7,40,45,3,0,Asphalt Shingles,Flashfoot 2,0,2,2,36:25:00,2,2,2,36:25:00,72:50:00,,4,,,,,,
,160,31,24,120/210,37,13.69,Enphase,1,0,1,0,0,0,B1,69.4,40.8,43,5,0,Asphalt Shingles,Flashfoot 2,0,2,1,48:00:00,3,3,1,16:00:00,64:00:00,,4,Data from here onwards is much more accurate,,,,,
,161,31,30,180,14,5.60,Enphase,1,1,0,1,1,0,B2,71.7,40,45,1,1,Asphalt Shingles,Flashfoot 2,0,1,0,14:45:00,2,2,1,7:22:30,22:07:30,,3,,,,,,
,162,22,25,180,21,8.40,Enphase,1,1,1,0,0,0,A4,71.7,40,45,2,0,Asphalt Shingles,Flashfoot 2,0,2,1,36:15:00,2,2,0,0:00:00,36:15:00,,2,,,,,,
,163,23,22,180,18,7.20,Enphase,1,1,1,1,1,0,B1,71.7,40,45,1,23,Asphalt Shingles,Flashfoot 2,0,1,0,78:40:00,4,3,1,26:13:20,104:53:20,,4,,,,,,
,164,36,30,270,18,8.10,SolarEdge,1,1,0,1,0,0,A*,82.79,40.94,55.12,4,0,Asphalt Shingles,Flashfoot 2,0,1,1,44:30:00,3,3,0,0:00:00,44:30:00,,3,,,,,,
